variant,name,regime,tp,fp,fn,recall,precision,miss_rate,f1,fa_per_hour_total,fa_per_hour_alert,recording_hours
V0,V0_baseline,primary,6,6,35,0.146341,0.500000,0.853659,0.226415,9.741285,21.252173,0.615935
V1,V1_speech_filter,primary,5,5,36,0.121951,0.500000,0.878049,0.196078,8.117737,17.710144,0.615935
V2,V2_reliability_gate,primary,5,6,36,0.121951,0.454545,0.878049,0.192308,9.741285,21.252173,0.615935
V3,V3_full,primary,5,4,36,0.121951,0.555556,0.878049,0.200000,6.494190,14.168115,0.615935
V4,V4_full_cnn,primary,5,4,36,0.121951,0.555556,0.878049,0.200000,6.494190,14.168115,0.615935
