epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8815892338752747,0.0010000000474974513,0.28872430324554443,0.9092555046081543,0.20725761353969574
1,0.9356918931007385,0.0010000000474974513,0.17634014785289764,0.9134808778762817,0.20472703874111176
2,0.9477399587631226,0.0010000000474974513,0.14354826509952545,0.9295774698257446,0.17990194261074066
3,0.954628586769104,0.0010000000474974513,0.12529951333999634,0.9130784869194031,0.2241729199886322
4,0.9593627452850342,0.0010000000474974513,0.1137867420911789,0.9158953428268433,0.2267938256263733
5,0.9613471031188965,0.0010000000474974513,0.10577695816755295,0.9366196990013123,0.191410094499588
6,0.9661379456520081,0.0005000000237487257,0.09620654582977295,0.9336016178131104,0.19497895240783691
7,0.9670167565345764,0.0005000000237487257,0.0915200486779213,0.9402414560317993,0.17926502227783203
8,0.9684483408927917,0.0005000000237487257,0.08839374035596848,0.9279677867889404,0.23156225681304932
9,0.9698090553283691,0.0005000000237487257,0.0848761796951294,0.9352112412452698,0.1970892995595932
10,0.9696956872940063,0.0005000000237487257,0.08387052267789841,0.9372233152389526,0.18599775433540344
11,0.9722186923027039,0.0002500000118743628,0.07765432447195053,0.9408450722694397,0.19016090035438538
12,0.972629725933075,0.0002500000118743628,0.07720652222633362,0.9424547553062439,0.19485315680503845
