variant,name,n_frames,accuracy,precision,recall_tpr,specificity,f1,fpr,roc_auc,pr_auc,fpr_at_matched_tpr,matched_tpr,tp,fp,tn,fn
V0,V0_baseline,66521,0.605598,0.602332,0.8,0.375881,0.687235,0.624119,0.628786,0.637354,0.624119,0.8,28824,19030,11461,7206
V1,V1_speech_filter,66521,0.59745,0.6005,0.767166,0.396904,0.673678,0.603096,0.617005,0.628353,0.669411,0.8,27641,18389,12102,8389
V2,V2_reliability_gate,66521,0.60656,0.603477,0.797835,0.380539,0.687177,0.619461,0.624539,0.621659,0.624447,0.8,28746,18888,11603,7284
V3,V3_full,66521,0.598322,0.601678,0.76453,0.401922,0.673398,0.598078,0.613299,0.614859,0.669017,0.8,27546,18236,12255,8484
V4,V4_full_cnn,66521,0.598322,0.601678,0.76453,0.401922,0.673398,0.598078,0.613299,0.614859,0.669017,0.8,27546,18236,12255,8484
