Model_Variant,Size_Bytes,Size_KB,Accuracy,Precision,Recall,Specificity,F1_Score,ROC_AUC,PR_AUC,Brier
FP32_Keras,-,-,0.936227,0.974215,0.950673,0.850259,0.962300,0.969219,0.993701,0.047995
FP32_TFLite,83060,81.11,0.936227,0.974215,0.950673,0.850259,0.962300,0.969219,0.993701,0.047995
Float16_TFLite,44500,43.46,0.936227,0.974215,0.950673,0.850259,0.962300,0.969219,0.993702,0.047976
INT8_TFLite,26160,25.55,0.935694,0.972388,0.951918,0.839140,0.962044,0.968339,0.993865,0.048386
